ソートキー,日付,YouTube形式,詳細区分,特徴タグ,コラボ,掲載ch,配信タイトル,URL,動画ID,曲順,歌唱ID,曲名,曲名よみ,アーティスト名,検索用アーティスト名,検索用アーティスト名よみ,関連元,開始時間,曲リンク,備考
20260604-2-003,2026/06/04,Live Stream,歌枠,,,,【歌枠】今夜も歌声きいてほしいなぁ【汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=mkwlGSCKEds,mkwlGSCKEds,3,mkwlGSCKEds-03,夜もすがら君想ふ,よもすがらきみおもふ,TOKOTOKO(西沢さんP),,,,0:27:38,この曲を聴く,
20260604-2-004,2026/06/04,Live Stream,歌枠,,,,【歌枠】今夜も歌声きいてほしいなぁ【汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=mkwlGSCKEds,mkwlGSCKEds,4,mkwlGSCKEds-04,からくりピエロ,,40mP feat. 初音ミク,40mP / 初音ミク,40mP / はつねみく,,0:36:24,この曲を聴く,
20260604-2-005,2026/06/04,Live Stream,歌枠,,,,【歌枠】今夜も歌声きいてほしいなぁ【汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=mkwlGSCKEds,mkwlGSCKEds,5,mkwlGSCKEds-05,独りんぼエンヴィー,ひとりんぼえんゔぃー,koyori(電ポルP) feat. 初音ミク,koyori(電ポルP) / 初音ミク,koyori(電ポルP) / はつねみく,,0:43:42,この曲を聴く,
20260604-2-006,2026/06/04,Live Stream,歌枠,,,,【歌枠】今夜も歌声きいてほしいなぁ【汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=mkwlGSCKEds,mkwlGSCKEds,6,mkwlGSCKEds-06,わたがし,,back number,,,,0:51:39,この曲を聴く,
20260604-2-007,2026/06/04,Live Stream,歌枠,,,,【歌枠】今夜も歌声きいてほしいなぁ【汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=mkwlGSCKEds,mkwlGSCKEds,7,mkwlGSCKEds-07,忘れじの言の葉,わすれじのことのは,未来古代楽団 feat. 安次嶺希和子,未来古代楽団 / 安次嶺希和子,みらいこだいがくだん / あしみねきわこ,,1:01:15,この曲を聴く,
20260604-2-008,2026/06/04,Live Stream,歌枠,,,,【歌枠】今夜も歌声きいてほしいなぁ【汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=mkwlGSCKEds,mkwlGSCKEds,8,mkwlGSCKEds-08,ノーダウト,,Official髭男dism,,,,1:15:38,この曲を聴く,
20260604-2-009,2026/06/04,Live Stream,歌枠,,,,【歌枠】今夜も歌声きいてほしいなぁ【汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=mkwlGSCKEds,mkwlGSCKEds,9,mkwlGSCKEds-09,たぶん,,YOASOBI,,,,1:24:54,この曲を聴く,
20260605-1-000,2026/06/05,Shorts,アカペラ版,アカペラ,,,【アカペラ】トンツカタンタン歌ってみた！【汐鳴みりね / ななしいんく】,https://www.youtube.com/shorts/oh2pHtM62GA,oh2pHtM62GA,0,oh2pHtM62GA-00,トンツカタンタン,,クレイジーウォウウォ!!,,,9lsFAU3NM0A-00,0,この曲を聴く,
20260606-3-000,2026/06/06,Video,歌ってみた,,,,【歌ってみた】TAIDADA【covered by 汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=3RsbwwRMg8g,3RsbwwRMg8g,0,3RsbwwRMg8g-00,TAIDADA,,ずっと真夜中でいいのに。,,,,0,この曲を聴く,
20260606-3-000,2026/06/06,Video,待機動画,,,,【待機枠うたってみた動画】,https://www.youtube.com/watch?v=TVg08-FTC3I&list=PL95rGnPLA5nTs_8nOJwFJYKWxQv5Y90lH,TVg08-FTC3I,0,TVg08-FTC3I-00,TAIDADA/JANE DOE/ウタカタララバイ,,,,,,0,この曲を聴く,
20260607-1-000,2026/06/07,Shorts,歌みた切り抜き,,,,TAIDADA cover【汐鳴みりね / ななしいんく】,https://www.youtube.com/shorts/1Scgp_xZE-c,1Scgp_xZE-c,0,1Scgp_xZE-c-00,TAIDADA,,ずっと真夜中でいいのに。,,,3RsbwwRMg8g-00,0,この曲を聴く,
20260607-2-001,2026/06/07,Live Stream,歌枠(コラボ),,うみつじ(漆瀬レイ),漆瀬レイ / Ray Nanase【ななしいんく】,【歌枠】 #うみつじ で初の歌コラボ！2人の最強な歌を聴け🎤✨【汐鳴みりね / 漆瀬レイ / ななしいんく】,https://www.youtube.com/watch?v=5hyYMHP0EQQ,5hyYMHP0EQQ,1,5hyYMHP0EQQ-01,イケナイ太陽,,ORANGE RANGE,,,,0:02:53,この曲を聴く,
20260607-2-002,2026/06/07,Live Stream,歌枠(コラボ),,うみつじ(漆瀬レイ),漆瀬レイ / Ray Nanase【ななしいんく】,【歌枠】 #うみつじ で初の歌コラボ！2人の最強な歌を聴け🎤✨【汐鳴みりね / 漆瀬レイ / ななしいんく】,https://www.youtube.com/watch?v=5hyYMHP0EQQ,5hyYMHP0EQQ,2,5hyYMHP0EQQ-02,コネクト,,ClariS,,,,0:14:24,この曲を聴く,
20260607-2-003,2026/06/07,Live Stream,歌枠(コラボ),,うみつじ(漆瀬レイ),漆瀬レイ / Ray Nanase【ななしいんく】,【歌枠】 #うみつじ で初の歌コラボ！2人の最強な歌を聴け🎤✨【汐鳴みりね / 漆瀬レイ / ななしいんく】,https://www.youtube.com/watch?v=5hyYMHP0EQQ,5hyYMHP0EQQ,3,5hyYMHP0EQQ-03,怪物さん,かいぶつさん,平井堅 feat. あいみょん,平井堅 / あいみょん,ひらいけん / あいみょん,,0:34:24,この曲を聴く,
20260607-2-004,2026/06/07,Live Stream,歌枠(コラボ),,うみつじ(漆瀬レイ),漆瀬レイ / Ray Nanase【ななしいんく】,【歌枠】 #うみつじ で初の歌コラボ！2人の最強な歌を聴け🎤✨【汐鳴みりね / 漆瀬レイ / ななしいんく】,https://www.youtube.com/watch?v=5hyYMHP0EQQ,5hyYMHP0EQQ,4,5hyYMHP0EQQ-04,いーあるふぁんくらぶ,,みきとP feat. GUMI・鏡音リン,みきとP / GUMI / 鏡音リン,みきとP / GUMI / かがみねりん,,0:43:40,この曲を聴く,
20260607-2-005,2026/06/07,Live Stream,歌枠(コラボ),,うみつじ(漆瀬レイ),漆瀬レイ / Ray Nanase【ななしいんく】,【歌枠】 #うみつじ で初の歌コラボ！2人の最強な歌を聴け🎤✨【汐鳴みりね / 漆瀬レイ / ななしいんく】,https://www.youtube.com/watch?v=5hyYMHP0EQQ,5hyYMHP0EQQ,5,5hyYMHP0EQQ-05,灰色と青,はいいろとあお,米津玄師+菅田将暉,米津玄師 / 菅田将暉,よねづけんし / すだまさき,,1:05:36,この曲を聴く,
